#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0549752509e+01    1.1166870050e+02   -2.2240380235e+01    1.1690627726e+01   -7.3386198413e+00    6.1431149384e-01   -2.7404044475e+00   -1.2775667440e+01   -2.5106817719e+00    9.5428230307e-02    1.0262000000e+04    8.1152071033e-01    9.9452941463e-01
         1   -1.0558799422e+01    1.1184531524e+02   -2.2114918235e+01    1.1556118814e+01   -7.2975024590e+00    6.9360607008e-01   -2.7353544063e+00   -1.2775667440e+01   -2.5033068527e+00    9.5428230307e-02    1.0234000000e+04    8.0154874667e-01    9.9466371916e-01
         2   -1.0532765843e+01    1.1132845058e+02   -2.2061681120e+01    1.1528915277e+01   -7.2558447357e+00    6.6734205316e-01   -2.6975109975e+00   -1.2775667440e+01   -2.4622396879e+00    9.5428230307e-02    1.0257000000e+04    8.0870678067e-01    9.9485576139e-01
         3   -1.0534470111e+01    1.1136456769e+02   -2.2052422343e+01    1.1517952232e+01   -7.2034369388e+00    6.0934557772e-01   -2.6826635414e+00   -1.2775667440e+01   -2.4450914614e+00    9.5428230307e-02    1.0270000000e+04    8.2231865833e-01    9.9519064469e-01
         4   -1.0560772486e+01    1.1188697105e+02   -2.2061415890e+01    1.1500643404e+01   -7.2327152782e+00    6.5672411644e-01   -2.7097572881e+00   -1.2775667440e+01   -2.4776058911e+00    9.5428230307e-02    1.0289000000e+04    8.1972324933e-01    9.9493558873e-01
         5   -1.0531508570e+01    1.1127212588e+02   -2.2074703835e+01    1.1543195265e+01   -7.2302439717e+00    6.1096964898e-01   -2.6797620717e+00   -1.2775667440e+01   -2.4482847698e+00    9.5428230307e-02    1.0259000000e+04    8.2673217767e-01    9.9488416097e-01
         6   -1.0518187498e+01    1.1098327121e+02   -2.2003101857e+01    1.1484914359e+01   -7.1832044122e+00    6.2042241892e-01   -2.6646524234e+00   -1.2775667440e+01   -2.4283764471e+00    9.5428230307e-02    1.0215000000e+04    8.2557384733e-01    9.9469993571e-01
         7   -1.0548981903e+01    1.1166088607e+02   -2.2063535647e+01    1.1514553743e+01   -7.2630278113e+00    6.4357498370e-01   -2.6684153788e+00   -1.2775667440e+01   -2.4271124673e+00    9.5428230307e-02    1.0259000000e+04    8.3222865100e-01    9.9477064799e-01
         8   -1.0534676063e+01    1.1135616100e+02   -2.2251425118e+01    1.1716749055e+01   -7.4843301166e+00    6.7646942902e-01   -2.6678969903e+00   -1.2775667440e+01   -2.4244721066e+00    9.5428230307e-02    1.0341000000e+04    8.3616404267e-01    9.9441292687e-01
         9   -1.0533815287e+01    1.1133851374e+02   -2.2189174726e+01    1.1655359439e+01   -7.4279402030e+00    6.5259772498e-01   -2.6381648079e+00   -1.2775667440e+01   -2.3953925598e+00    9.5428230307e-02    1.0420000000e+04    8.4784897800e-01    9.9415269844e-01
        10   -1.0544102180e+01    1.1153505231e+02   -2.2034082876e+01    1.1489980696e+01   -7.1376125692e+00    5.5107809013e-01   -2.6718809565e+00   -1.2775667440e+01   -2.4304974694e+00    9.5428230307e-02    1.0414000000e+04    8.4527502367e-01    9.9445611733e-01
        11   -1.0561616898e+01    1.1209415992e+02   -2.1846058833e+01    1.1284441935e+01   -7.0363971548e+00    6.4572656684e-01   -2.6797208051e+00   -1.2775667440e+01   -2.4413139955e+00    9.5428230307e-02    1.0395000000e+04    8.5420364067e-01    9.9499960014e-01
        12   -1.0546998791e+01    1.1160899981e+02   -2.2056058288e+01    1.1509059497e+01   -7.3143322446e+00    7.2870841188e-01   -2.6947670152e+00   -1.2775667440e+01   -2.4509234601e+00    9.5428230307e-02    1.0394000000e+04    8.8053139633e-01    9.9452748248e-01
        13   -1.0566226994e+01    1.1207659745e+02   -2.2236025378e+01    1.1669798385e+01   -7.5219791449e+00    7.3122992879e-01   -2.6696087222e+00   -1.2775667440e+01   -2.4325638035e+00    9.5428230307e-02    1.0493000000e+04    8.7375644267e-01    9.9433180027e-01
