#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0484912434e+01    1.1033217480e+02   -2.2143475329e+01    1.1658562895e+01   -7.2694603491e+00    5.5234098616e-01   -2.6506885261e+00   -1.2775667440e+01   -2.3962500859e+00    5.1148920894e+03    4.4060805800e-01    9.8633118153e-01
         1   -1.0484261450e+01    1.1035865335e+02   -2.2164522423e+01    1.1680260973e+01   -7.3437841915e+00    5.8562824639e-01   -2.6306990375e+00   -1.2775667440e+01   -2.3805796907e+00    5.1192886710e+03    4.4085150700e-01    9.8697967559e-01
         2   -1.0504749266e+01    1.1079895869e+02   -2.2083831921e+01    1.1579082655e+01   -7.2736216800e+00    5.8331746822e-01   -2.6178602688e+00   -1.2775667440e+01   -2.3651120835e+00    5.1194054640e+03    4.5776822500e-01    9.8751709986e-01
         3   -1.0516504309e+01    1.1096328242e+02   -2.1998955697e+01    1.1482451388e+01   -7.2186249697e+00    6.3812863711e-01   -2.6427919242e+00   -1.2775667440e+01   -2.3944712465e+00    5.1218506922e+03    4.7192267300e-01    9.8638227255e-01
         4   -1.0492621265e+01    1.1048385122e+02   -2.2098486496e+01    1.1605865231e+01   -7.3027984691e+00    6.1962118976e-01   -2.6396417762e+00   -1.2775667440e+01   -2.3881025299e+00    5.1241808303e+03    4.7420921600e-01    9.8661497952e-01
         5   -1.0513787629e+01    1.1091608349e+02   -2.2058904699e+01    1.1545117070e+01   -7.3314932531e+00    7.0028234575e-01   -2.6520263512e+00   -1.2775667440e+01   -2.4017580127e+00    5.1126885058e+03    4.7023910000e-01    9.8708667580e-01
         6   -1.0531212561e+01    1.1127355401e+02   -2.2229157071e+01    1.1697944510e+01   -7.3624456509e+00    5.9170066462e-01   -2.6827446442e+00   -1.2775667440e+01   -2.4373979955e+00    5.1320017432e+03    4.8244819600e-01    9.8732943470e-01
         7   -1.0527918572e+01    1.1121412143e+02   -2.2159075300e+01    1.1631156728e+01   -7.2889153619e+00    5.7948933647e-01   -2.6739818341e+00   -1.2775667440e+01   -2.4298541330e+00    5.1135493333e+03    4.7098390300e-01    9.8757824726e-01
         8   -1.0535935845e+01    1.1135885359e+02   -2.2031396964e+01    1.1495461119e+01   -7.1717403720e+00    5.9883408020e-01   -2.6828232320e+00   -1.2775667440e+01   -2.4413445697e+00    5.0724693035e+03    4.6982934100e-01    9.8814102564e-01
         9   -1.0546386058e+01    1.1160356025e+02   -2.2170996219e+01    1.1624610161e+01   -7.3057943424e+00    5.8976897765e-01   -2.6793034143e+00   -1.2775667440e+01   -2.4349901530e+00    5.0406036208e+03    4.7377064000e-01    9.8761663689e-01
        10   -1.0534768683e+01    1.1133285233e+02   -2.2097705628e+01    1.1562936945e+01   -7.1969936294e+00    5.9331364030e-01   -2.7183581985e+00   -1.2775667440e+01   -2.4786167385e+00    5.0473005211e+03    4.6041353400e-01    9.8830525273e-01
        11   -1.0549349174e+01    1.1165774985e+02   -2.2153780661e+01    1.1604431487e+01   -7.3001564924e+00    6.2520311476e-01   -2.7031598436e+00   -1.2775667440e+01   -2.4643930828e+00    5.0575552987e+03    4.6204190800e-01    9.8733676296e-01
        12   -1.0533473540e+01    1.1139610887e+02   -2.2230516789e+01    1.1697043248e+01   -7.4966604927e+00    7.1392366295e-01   -2.6721125186e+00   -1.2775667440e+01   -2.4321969069e+00    5.0831952451e+03    4.6359686900e-01    9.8642266824e-01
        13   -1.0532445356e+01    1.1129668210e+02   -2.2339540348e+01    1.1807094992e+01   -7.5738939580e+00    6.9484590790e-01   -2.6848248577e+00   -1.2775667440e+01   -2.4455380584e+00    5.1025504079e+03    4.7038245600e-01    9.8679439436e-01
        14   -1.0539275080e+01    1.1145512884e+02   -2.2413658826e+01    1.1874383746e+01   -7.6065288829e+00    6.5776223568e-01   -2.6892247381e+00   -1.2775667440e+01   -2.4475244559e+00    5.1217630224e+03    4.7199214900e-01    9.8581819957e-01
        15   -1.0529801143e+01    1.1127034362e+02   -2.2354716619e+01    1.1824915476e+01   -7.5963713651e+00    6.5058756845e-01   -2.6332653820e+00   -1.2775667440e+01   -2.3899011073e+00    5.1199536098e+03    4.6578182200e-01    9.8696289062e-01
        16   -1.0512911079e+01    1.1089040417e+02   -2.2186640218e+01    1.1673729139e+01   -7.3871300416e+00    6.0218002204e-01   -2.6260227581e+00   -1.2775667440e+01   -2.3776636099e+00    5.1440345445e+03    4.7593009900e-01    9.8761173727e-01
        17   -1.0519176974e+01    1.1103941682e+02   -2.2109214958e+01    1.1590037984e+01   -7.2282205587e+00    5.5555154282e-01   -2.6608785017e+00   -1.2775667440e+01   -2.4175683897e+00    5.1522450827e+03    4.7131359000e-01    9.8772797827e-01
        18   -1.0500345641e+01    1.1064587502e+02   -2.1990028950e+01    1.1489683309e+01   -7.1241144944e+00    5.6087089117e-01   -2.6511179068e+00   -1.2775667440e+01   -2.4017352225e+00    5.1427728789e+03    4.7355558900e-01    9.8634862029e-01
        19   -1.0497776986e+01    1.1060336310e+02   -2.2041414866e+01    1.1543637880e+01   -7.1857235449e+00    6.0275362771e-01   -2.6827775087e+00   -1.2775667440e+01   -2.4303759212e+00    5.0995122484e+03    4.6400875800e-01    9.8706389651e-01
