#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
        19   -1.0361855058e+01    1.0829875228e+02   -2.0307543188e+01    9.9456881300e+00   -5.6375171229e+00    9.9539318019e-01   -2.8897518053e+00   -1.2775667440e+01   -2.6124794383e+00    9.5428230307e-02    6.0000000000e+01    4.0817107500e-03    7.6458333333e-01
        20   -1.0581638991e+01    1.1213166170e+02   -2.1418042181e+01    1.0836403190e+01   -6.1125987881e+00    3.9636165234e-01   -2.9261376051e+00   -1.2775667440e+01   -2.6893034755e+00    9.5428230307e-02    6.0000000000e+01    3.8316485833e-03    7.8750000000e-01
        21   -1.0437091663e+01    1.0936619383e+02   -2.2043420014e+01    1.1606328351e+01   -6.5723226327e+00    2.2652790280e-01   -2.9219578438e+00   -1.2775667440e+01   -2.7273010277e+00    9.5428230307e-02    6.0000000000e+01    4.0608444167e-03    7.4513888889e-01
        22   -1.0549083847e+01    1.1158119850e+02   -2.2106363243e+01    1.1557279396e+01   -7.4105579104e+00    6.3748367705e-01   -2.5576215692e+00   -1.2775667440e+01   -2.3212598757e+00    9.5428230307e-02    6.0000000000e+01    3.9678315833e-03    7.5069444444e-01
        23   -1.0427780995e+01    1.0899678522e+02   -2.1141723840e+01    1.0713942845e+01   -6.1760729697e+00    2.8525120808e-01   -2.4752346385e+00   -1.2775667440e+01   -2.1751076337e+00    9.5428230307e-02    6.0000000000e+01    4.1262281667e-03    7.4444444444e-01
        24   -1.0580185519e+01    1.1220386538e+02   -2.1550253157e+01    1.0970067638e+01   -6.5520560745e+00    6.5641895770e-01   -2.8789486001e+00   -1.2775667440e+01   -2.6370909601e+00    9.5428230307e-02    6.0000000000e+01    3.8521646667e-03    7.6250000000e-01
        25   -1.0489344851e+01    1.1033235938e+02   -2.2421929865e+01    1.1932585014e+01   -7.4915057451e+00    6.5556474153e-01   -2.8103214208e+00   -1.2775667440e+01   -2.5818251820e+00    9.5428230307e-02    6.0000000000e+01    3.9161212500e-03    7.7083333333e-01
        26   -1.0491463465e+01    1.1030698091e+02   -2.1521470617e+01    1.1030007152e+01   -6.7226847061e+00    6.0155221762e-01   -2.6246706880e+00   -1.2775667440e+01   -2.3663192881e+00    9.5428230307e-02    6.0000000000e+01    3.8062440000e-03    7.7638888889e-01
        27   -1.0435580049e+01    1.0938839318e+02   -2.3148539077e+01    1.2712959028e+01   -7.9675152712e+00    1.6421687528e-01   -2.5695732413e+00   -1.2775667440e+01   -2.3353882165e+00    9.5428230307e-02    6.0000000000e+01    3.8197273333e-03    7.5347222222e-01
        28   -1.0535710701e+01    1.1129060572e+02   -2.1399156454e+01    1.0863445753e+01   -6.7089015497e+00    6.3028049885e-01   -2.5448679628e+00   -1.2775667440e+01   -2.3017722577e+00    9.5428230307e-02    6.0000000000e+01    3.8019200833e-03    7.7500000000e-01
        29   -1.0510488174e+01    1.1081108714e+02   -2.3278168327e+01    1.2767680154e+01   -8.3354783953e+00    3.4083266144e-01   -2.5078551533e+00   -1.2775667440e+01   -2.2516448132e+00    9.5428230307e-02    6.0000000000e+01    3.8260710000e-03    7.4861111111e-01
        30   -1.0378706854e+01    1.0809347451e+02   -2.2787006408e+01    1.2408299553e+01   -8.3960060527e+00    6.4447776534e-01   -2.2598106801e+00   -1.2775667440e+01   -2.0121672170e+00    9.5428230307e-02    6.0000000000e+01    3.8250224167e-03    7.3611111111e-01
        31   -1.0454129094e+01    1.0955935218e+02   -2.2154726003e+01    1.1700596909e+01   -7.1097480684e+00    5.6795342768e-01   -2.8372639224e+00   -1.2775667440e+01   -2.6196333543e+00    9.5428230307e-02    6.0000000000e+01    3.8042394167e-03    7.4930555556e-01
        32   -1.0612707059e+01    1.1300454736e+02   -2.2249030009e+01    1.1636322950e+01   -7.3769315365e+00    5.9895585395e-01   -2.6953868858e+00   -1.2775667440e+01   -2.4711359348e+00    9.5428230307e-02    6.0000000000e+01    3.8074251667e-03    7.6944444444e-01
        33   -1.0573102330e+01    1.1214658308e+02   -2.1393282628e+01    1.0820180297e+01   -6.6799673962e+00    7.3851757016e-01   -2.6761653613e+00   -1.2775667440e+01   -2.4119391575e+00    9.5428230307e-02    6.0000000000e+01    3.7799797500e-03    7.5902777778e-01
        34   -1.0465417246e+01    1.0990393853e+02   -2.3225155060e+01    1.2759737814e+01   -8.1936132005e+00    3.9412958739e-01   -2.6500040064e+00   -1.2775667440e+01   -2.4083650185e+00    9.5428230307e-02    6.0000000000e+01    3.8402130833e-03    7.4861111111e-01
        35   -1.0498414349e+01    1.1046625666e+02   -2.3270730764e+01    1.2772316415e+01   -8.6093481237e+00    8.1407853527e-01   -2.6997937353e+00   -1.2775667440e+01   -2.4728709299e+00    9.5428230307e-02    6.0000000000e+01    3.7703880833e-03    7.5486111111e-01
        36   -1.0560332446e+01    1.1187526543e+02   -2.3483785285e+01    1.2923452839e+01   -8.9428464088e+00    6.1648411881e-01   -2.3817555548e+00   -1.2775667440e+01   -2.1619603270e+00    9.5428230307e-02    6.0000000000e+01    3.8382946667e-03    7.6180555556e-01
        37   -1.0526186654e+01    1.1108164785e+02   -2.2180227953e+01    1.1654041299e+01   -7.1952598300e+00    2.2304263701e-01   -2.4323433198e+00   -1.2775667440e+01   -2.2184756411e+00    9.5428230307e-02    6.0000000000e+01    3.8393097500e-03    7.6388888889e-01
        38   -1.0572850809e+01    1.1206391803e+02   -2.2504061674e+01    1.1931210865e+01   -7.7163614015e+00    5.2770463459e-01   -2.5397374668e+00   -1.2775667440e+01   -2.3101237732e+00    9.5428230307e-02    6.0000000000e+01    3.7740707500e-03    7.3125000000e-01
        39   -1.0473528472e+01    1.1005055614e+02   -2.0890146334e+01    1.0416617862e+01   -5.7605448819e+00    3.5929687957e-01   -2.7132308913e+00   -1.2775667440e+01   -2.4480603579e+00    9.5428230307e-02    6.0000000000e+01    3.8246976667e-03    7.5972222222e-01
        40   -1.0648109832e+01    1.1370124864e+02   -2.0178118463e+01    9.5300086311e+00   -5.0353426754e+00    5.6351770253e-01   -2.9306260503e+00   -1.2775667440e+01   -2.6638552654e+00    9.5428230307e-02    6.0000000000e+01    3.7990690833e-03    7.5416666667e-01
        41   -1.0552317730e+01    1.1171857856e+02   -2.1452758983e+01    1.0900441253e+01   -6.9408479136e+00    8.7146729830e-01   -2.6077109279e+00   -1.2775667440e+01   -2.3489014381e+00    9.5428230307e-02    6.0000000000e+01    3.7752683333e-03    7.4513888889e-01
        42   -1.0478381842e+01    1.1022263676e+02   -2.0758306627e+01    1.0279924785e+01   -6.1928076857e+00    7.9618719453e-01   -2.5860186960e+00   -1.2775667440e+01   -2.2824827406e+00    9.5428230307e-02    6.0000000000e+01    3.7689900833e-03    7.5625000000e-01
        43   -1.0420579271e+01    1.0889196584e+02   -2.2476562249e+01    1.2055982978e+01   -7.9198049171e+00    6.4816126227e-01   -2.4292511539e+00   -1.2775667440e+01   -2.1386375977e+00    9.5428230307e-02    6.0000000000e+01    3.7826988333e-03    7.4861111111e-01
        44   -1.0453605715e+01    1.0960651757e+02   -2.1339507889e+01    1.0885902173e+01   -6.3336325629e+00    3.9691847301e-01   -2.6271263587e+00   -1.2775667440e+01   -2.3722880816e+00    9.5428230307e-02    6.0000000000e+01    3.7815012500e-03    7.6458333333e-01
        45   -1.0498407104e+01    1.1070621474e+02   -2.2038156703e+01    1.1539749599e+01   -7.3223410904e+00    6.9349951210e-01   -2.6336476841e+00   -1.2775667440e+01   -2.3847984345e+00    9.5428230307e-02    6.0000000000e+01    3.8320215833e-03    7.6805555556e-01
        46   -1.0461272185e+01    1.0981180269e+02   -2.3268290557e+01    1.2807018371e+01   -8.6363239866e+00    4.0355379441e-01   -2.2598529243e+00   -1.2775667440e+01   -2.0241005335e+00    9.5428230307e-02    6.0000000000e+01    4.0321660000e-03    7.5208333333e-01
        47   -1.0390265016e+01    1.0867636248e+02   -2.2787500532e+01    1.2397235516e+01   -8.1848903152e+00    7.3547161233e-01   -2.5624143888e+00   -1.2775667440e+01   -2.3470864378e+00    9.5428230307e-02    6.0000000000e+01    3.8428046667e-03    7.5347222222e-01
        48   -1.0404031014e+01    1.0869762102e+02   -2.2139743629e+01    1.1735712616e+01   -7.2604438448e+00    4.1368571324e-01   -2.5173180575e+00   -1.2775667440e+01   -2.2810597050e+00    9.5428230307e-02    6.0000000000e+01    3.7910942500e-03    7.7222222222e-01
        49   -1.0440242269e+01    1.0946271067e+02   -2.2335513223e+01    1.1895270954e+01   -7.6155182891e+00    5.9695150198e-01   -2.5412789956e+00   -1.2775667440e+01   -2.3086766416e+00    9.5428230307e-02    6.0000000000e+01    3.8402605833e-03    7.7777777778e-01
        50   -1.0461443819e+01    1.0990197059e+02   -2.2657089247e+01    1.2195645428e+01   -7.7353602051e+00    5.0554142092e-01   -2.6516030225e+00   -1.2775667440e+01   -2.3533522284e+00    9.5428230307e-02    6.0000000000e+01    3.7741594167e-03    7.5625000000e-01
        51   -1.0498154292e+01    1.1051610595e+02   -2.2401810186e+01    1.1903655894e+01   -7.8813249017e+00    6.2723859828e-01   -2.3720564423e+00   -1.2775667440e+01   -2.1042671010e+00    9.5428230307e-02    6.0000000000e+01    3.8121738333e-03    7.6388888889e-01
