#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0226400289e+01    1.0685194066e+02   -2.2020710535e+01    1.1794310247e+01   -7.5755551281e+00    4.9384526245e-01   -2.1633332296e+00   -1.2775667440e+01    2.6400000000e+02    2.0098442000e-02    5.4190340909e-01
         1   -1.0238264041e+01    1.0649846553e+02   -2.2310340724e+01    1.2072076682e+01   -8.0476933182e+00    6.5050013299e-01   -2.1374800983e+00   -1.2775667440e+01    2.6400000000e+02    2.0438326000e-02    5.4436553030e-01
         2   -1.0269846847e+01    1.0691738686e+02   -2.1710207087e+01    1.1440360240e+01   -7.2580465077e+00    6.0682367405e-01   -2.2833168131e+00   -1.2775667440e+01    2.6400000000e+02    2.0523553000e-02    5.4346590909e-01
         3   -1.0146875386e+01    1.0467633191e+02   -2.1298130192e+01    1.1151254806e+01   -7.0861264937e+00    7.4059807670e-01   -2.1769343346e+00   -1.2775667440e+01    2.6400000000e+02    2.0419369000e-02    5.4782196970e-01
         4   -1.0260210603e+01    1.0705734911e+02   -2.2008107141e+01    1.1747896538e+01   -7.7273753350e+00    7.1250551231e-01   -2.2175698776e+00   -1.2775667440e+01    2.6400000000e+02    1.9895387000e-02    5.3702651515e-01
         5   -1.0314993048e+01    1.0870371346e+02   -2.2112589297e+01    1.1797596249e+01   -7.6797579742e+00    5.9614630586e-01   -2.2533101888e+00   -1.2775667440e+01    2.6400000000e+02    1.9160389000e-02    5.4573863636e-01
         6   -1.0312130129e+01    1.0812230465e+02   -2.2071830872e+01    1.1759700743e+01   -7.5672840601e+00    5.5277964948e-01   -2.2816590215e+00   -1.2775667440e+01    2.6400000000e+02    1.9354509000e-02    5.4521780303e-01
         7   -1.0377195385e+01    1.0923758040e+02   -2.2515931892e+01    1.2138736507e+01   -8.0175269675e+00    5.8248982768e-01   -2.3052273122e+00   -1.2775667440e+01    2.6400000000e+02    1.7213735000e-02    5.3901515152e-01
         8   -1.0242517762e+01    1.0658945025e+02   -2.2211859237e+01    1.1969341475e+01   -8.0612657459e+00    7.4817669101e-01   -2.1231027422e+00   -1.2775667440e+01    2.6400000000e+02    1.8054017000e-02    5.4403409091e-01
         9   -1.0227041255e+01    1.0629814807e+02   -2.2066652066e+01    1.1839610811e+01   -7.6342566931e+00    5.5345161010e-01   -2.2101795432e+00   -1.2775667440e+01    2.6400000000e+02    1.7470732000e-02    5.4403409091e-01
        10   -1.0233591800e+01    1.0657988110e+02   -2.1857696593e+01    1.1624104793e+01   -7.5718816078e+00    6.5906521572e-01   -2.1692127607e+00   -1.2775667440e+01    2.6400000000e+02    1.7437919000e-02    5.4791666667e-01
        11   -1.0222318123e+01    1.0634029524e+02   -2.2330346351e+01    1.2108028228e+01   -7.8437838658e+00    5.0039754343e-01   -2.2112925889e+00   -1.2775667440e+01    2.6400000000e+02    1.7252450000e-02    5.4412878788e-01
        12   -1.0194049976e+01    1.0619760495e+02   -2.1799612794e+01    1.1605562817e+01   -7.6031198766e+00    6.8928708238e-01   -2.1101125593e+00   -1.2775667440e+01    2.6400000000e+02    1.6778892000e-02    5.4076704545e-01
        13   -1.0245251945e+01    1.0682503440e+02   -2.2006160952e+01    1.1760909007e+01   -7.6984682151e+00    6.3788408392e-01   -2.1699093803e+00   -1.2775667440e+01    2.6400000000e+02    1.6827816000e-02    5.3385416667e-01
        14   -1.0281416188e+01    1.0753660097e+02   -2.1897862510e+01    1.1616446322e+01   -7.5867692766e+00    6.4946700456e-01   -2.1848927979e+00   -1.2775667440e+01    2.6400000000e+02    1.6673710000e-02    5.4346590909e-01
        15   -1.0276000481e+01    1.0755960442e+02   -2.1876568028e+01    1.1600567547e+01   -7.4215640635e+00    5.4880434861e-01   -2.2281408730e+00   -1.2775667440e+01    2.6400000000e+02    1.6703074000e-02    5.3986742424e-01
        16   -1.0156956871e+01    1.0549502506e+02   -2.1787438290e+01    1.1630481419e+01   -7.5726205676e+00    6.8971521316e-01   -2.1288654949e+00   -1.2775667440e+01    2.6400000000e+02    1.6799213000e-02    5.5042613636e-01
        17   -1.0287605373e+01    1.0719848280e+02   -2.1756893158e+01    1.1469287785e+01   -7.2292167935e+00    5.6692309542e-01   -2.3189320193e+00   -1.2775667440e+01    2.6400000000e+02    1.6893320000e-02    5.4242424242e-01
        18   -1.0334284808e+01    1.0841048876e+02   -2.1943100916e+01    1.1608816107e+01   -7.6357327274e+00    7.9588012923e-01   -2.3275808773e+00   -1.2775667440e+01    2.6400000000e+02    1.7327154000e-02    5.4010416667e-01
        19   -1.0285199742e+01    1.0759409873e+02   -2.1638361792e+01    1.1353162050e+01   -7.1815339501e+00    5.8812806248e-01   -2.2692884642e+00   -1.2775667440e+01    2.6400000000e+02    1.7707842000e-02    5.3967803030e-01
        20   -1.0323828657e+01    1.0831737769e+02   -2.1709367144e+01    1.1385538487e+01   -7.1326845726e+00    5.6711556519e-01   -2.3681306967e+00   -1.2775667440e+01    2.6400000000e+02    1.7231492000e-02    5.4668560606e-01
        21   -1.0422793924e+01    1.1017872375e+02   -2.1673285067e+01    1.1250491143e+01   -7.1297086648e+00    6.6297729456e-01   -2.4308862566e+00   -1.2775667440e+01    2.6400000000e+02    1.7777164000e-02    5.4029356061e-01
        22   -1.0111795257e+01    1.0435401029e+02   -2.1853576697e+01    1.1741781440e+01   -7.6287446131e+00    6.7034520756e-01   -2.1195098514e+00   -1.2775667440e+01    2.6400000000e+02    1.6797702000e-02    5.4441287879e-01
        23   -1.0271697217e+01    1.0750348752e+02   -2.1799217238e+01    1.1527520021e+01   -7.1048970039e+00    3.6227030754e-01   -2.2809231015e+00   -1.2775667440e+01    2.6400000000e+02    1.6785870000e-02    5.4218750000e-01
