#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0482208993e+01    1.1025944870e+02   -2.2050618271e+01    1.1568409278e+01   -7.2801067873e+00    6.1456224094e-01   -2.6094062844e+00   -1.2775667440e+01   -2.3576046708e+00    5.1200000000e+03    4.0520383500e-01    7.6256510417e-01
         1   -1.0486606280e+01    1.1036900904e+02   -2.2150639634e+01    1.1664033354e+01   -7.3825235147e+00    5.9849620336e-01   -2.5909448824e+00   -1.2775667440e+01   -2.3369856135e+00    5.1200000000e+03    4.0994105500e-01    7.6008300781e-01
         2   -1.0490754383e+01    1.1043204133e+02   -2.2046749394e+01    1.1555995012e+01   -7.2460170895e+00    5.9953715328e-01   -2.6246020176e+00   -1.2775667440e+01   -2.3742385847e+00    5.1200000000e+03    4.1149975600e-01    7.6032714844e-01
         3   -1.0488373404e+01    1.1039339320e+02   -2.2078129157e+01    1.1589755754e+01   -7.3059001951e+00    6.2467814799e-01   -2.6212396700e+00   -1.2775667440e+01   -2.3717911219e+00    5.1200000000e+03    4.0944452000e-01    7.6025390625e-01
         4   -1.0477960247e+01    1.1016923179e+02   -2.2080480747e+01    1.1602520500e+01   -7.2319169161e+00    5.6476912233e-01   -2.6376655130e+00   -1.2775667440e+01   -2.3836332583e+00    5.1200000000e+03    4.2323421400e-01    7.6097005208e-01
         5   -1.0492813049e+01    1.1055331609e+02   -2.2001876218e+01    1.1509063169e+01   -7.2027023187e+00    6.1665418714e-01   -2.6401606461e+00   -1.2775667440e+01   -2.3893554972e+00    5.1200000000e+03    4.0674587000e-01    7.6011555990e-01
         6   -1.0474902400e+01    1.1009505165e+02   -2.2020163974e+01    1.1545261574e+01   -7.2855297147e+00    6.4008767565e-01   -2.5990544946e+00   -1.2775667440e+01   -2.3465437600e+00    5.1200000000e+03    4.1361636900e-01    7.5964355469e-01
         7   -1.0493417307e+01    1.1047415136e+02   -2.2037694176e+01    1.1544276868e+01   -7.2689780293e+00    6.3042459800e-01   -2.6234733044e+00   -1.2775667440e+01   -2.3727771373e+00    5.1200000000e+03    4.2196863800e-01    7.6288248698e-01
         8   -1.0476680028e+01    1.1015030007e+02   -2.2034065168e+01    1.1557385141e+01   -7.2759900180e+00    6.3703875244e-01   -2.6194464626e+00   -1.2775667440e+01   -2.3736072420e+00    5.1200000000e+03    4.3621176000e-01    7.6241048177e-01
         9   -1.0458491188e+01    1.0977295661e+02   -2.2024339380e+01    1.1565848192e+01   -7.2656512311e+00    6.2169470257e-01   -2.6047154113e+00   -1.2775667440e+01   -2.3535996599e+00    5.1200000000e+03    4.2495382000e-01    7.6067708333e-01
        10   -1.0488979556e+01    1.1040497317e+02   -2.2036953883e+01    1.1547974327e+01   -7.2350001731e+00    6.1135727434e-01   -2.6376435442e+00   -1.2775667440e+01   -2.3892852973e+00    5.1200000000e+03    4.2381996900e-01    7.6183268229e-01
        11   -1.0491896037e+01    1.1045685426e+02   -2.1975995683e+01    1.1484099646e+01   -7.2817194362e+00    6.8281483117e-01   -2.6014236377e+00   -1.2775667440e+01   -2.3497787630e+00    5.1200000000e+03    4.2305208000e-01    7.5984700521e-01
