#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0518529689e+01    1.1094429378e+02   -2.2005143527e+01    1.1486613838e+01   -7.4969395315e+00    8.4728839145e-01   -2.5798249468e+00   -1.2775667440e+01    2.6400000000e+02    1.8475862000e-02    5.3589015152e-01
         1   -1.0455061942e+01    1.0972521761e+02   -2.2354483028e+01    1.1899421087e+01   -7.4611901192e+00    5.3579378407e-01   -2.6534192531e+00   -1.2775667440e+01    2.6400000000e+02    1.8238626000e-02    5.3982007576e-01
         2   -1.0434444991e+01    1.0939862517e+02   -2.1910753294e+01    1.1476308304e+01   -6.9722549420e+00    5.7253345681e-01   -2.7353643691e+00   -1.2775667440e+01    2.6400000000e+02    1.8250163000e-02    5.3835227273e-01
         3   -1.0491429132e+01    1.1044095253e+02   -2.2077093100e+01    1.1585663967e+01   -7.3284197413e+00    6.8275514582e-01   -2.6557610639e+00   -1.2775667440e+01    2.6400000000e+02    1.8219058000e-02    5.3821022727e-01
         4   -1.0456372154e+01    1.0967886109e+02   -2.2044340623e+01    1.1587968469e+01   -7.1674201716e+00    5.7023986567e-01   -2.6714928767e+00   -1.2775667440e+01    2.6400000000e+02    1.8421100000e-02    5.3238636364e-01
         5   -1.0488289333e+01    1.1041210232e+02   -2.1827392374e+01    1.1339103041e+01   -7.0555854157e+00    6.7341719410e-01   -2.6695567118e+00   -1.2775667440e+01    2.6400000000e+02    1.8261089000e-02    5.3740530303e-01
         6   -1.0501026846e+01    1.1067720849e+02   -2.1805481631e+01    1.1304454785e+01   -7.0108390096e+00    6.5555879922e-01   -2.6745339800e+00   -1.2775667440e+01    2.6400000000e+02    1.8304184000e-02    5.3887310606e-01
         7   -1.0512436548e+01    1.1092388778e+02   -2.2378024296e+01    1.1865587748e+01   -7.6756596365e+00    6.5990570639e-01   -2.5866029258e+00   -1.2775667440e+01    2.6400000000e+02    1.9657571000e-02    5.4303977273e-01
         8   -1.0488311585e+01    1.1032923699e+02   -2.1950859621e+01    1.1462548035e+01   -7.0196479081e+00    6.7597917322e-01   -2.8315234458e+00   -1.2775667440e+01    2.6400000000e+02    1.9790633000e-02    5.3754734848e-01
         9   -1.0453946110e+01    1.0974937041e+02   -2.2642791933e+01    1.2188845823e+01   -7.7026124278e+00    5.4198522453e-01   -2.7064972898e+00   -1.2775667440e+01    2.6400000000e+02    1.9896488000e-02    5.3025568182e-01
        10   -1.0529203492e+01    1.1129184617e+02   -2.2246097003e+01    1.1716893511e+01   -7.2723024281e+00    4.9438914264e-01   -2.6925162773e+00   -1.2775667440e+01    2.6400000000e+02    1.9778388000e-02    5.4090909091e-01
        11   -1.0494698828e+01    1.1060118589e+02   -2.2043112290e+01    1.1548413463e+01   -7.5844488078e+00    9.7876534001e-01   -2.6617613824e+00   -1.2775667440e+01    2.6400000000e+02    2.0229130000e-02    5.4412878788e-01
        12   -1.0488491581e+01    1.1055127033e+02   -2.1912113536e+01    1.1423621955e+01   -6.7799578715e+00    4.3838095428e-01   -2.7948691785e+00   -1.2775667440e+01    2.6400000000e+02    2.0176734000e-02    5.2926136364e-01
        13   -1.0433489245e+01    1.0923975875e+02   -2.2246319867e+01    1.1812830622e+01   -7.4120725711e+00    6.2579182103e-01   -2.6843716764e+00   -1.2775667440e+01    2.6400000000e+02    1.9691554000e-02    5.3773674242e-01
        14   -1.0577636905e+01    1.1235955073e+02   -2.2113036983e+01    1.1535400078e+01   -7.4121184060e+00    7.4355613329e-01   -2.6688072703e+00   -1.2775667440e+01    2.6400000000e+02    1.9670226000e-02    5.4095643939e-01
        15   -1.0481808966e+01    1.1032098907e+02   -2.2298398410e+01    1.1816589444e+01   -7.4844278388e+00    6.1891071887e-01   -2.6572138497e+00   -1.2775667440e+01    2.6400000000e+02    2.0253430000e-02    5.3252840909e-01
        16   -1.0477183001e+01    1.1022551966e+02   -2.2587185984e+01    1.2110002983e+01   -7.6983626649e+00    6.8383133161e-01   -2.7969872106e+00   -1.2775667440e+01    2.6400000000e+02    2.0517513000e-02    5.3977272727e-01
        17   -1.0487727043e+01    1.1035407469e+02   -2.2252790885e+01    1.1765063842e+01   -7.4888986030e+00    6.8525661676e-01   -2.6734814588e+00   -1.2775667440e+01    2.6400000000e+02    1.9647580000e-02    5.3309659091e-01
        18   -1.0410236596e+01    1.0885176561e+02   -2.2062857524e+01    1.1652620928e+01   -6.9383773001e+00    4.0009108516e-01   -2.7489038693e+00   -1.2775667440e+01    2.6400000000e+02    1.9739723000e-02    5.3726325758e-01
        19   -1.0513506787e+01    1.1088918252e+02   -2.1916777013e+01    1.1403270227e+01   -7.0185784713e+00    6.6285696325e-01   -2.7853880651e+00   -1.2775667440e+01    2.6400000000e+02    2.0230886000e-02    5.3413825758e-01
        20   -1.0505919696e+01    1.1075554501e+02   -2.1439199907e+01    1.0933280211e+01   -6.5652834180e+00    6.8084060665e-01   -2.7790896556e+00   -1.2775667440e+01    2.6400000000e+02    2.0321654000e-02    5.3958333333e-01
        21   -1.0540427188e+01    1.1151191385e+02   -2.1791855914e+01    1.1251428725e+01   -6.9260428121e+00    6.2407532396e-01   -2.7142209854e+00   -1.2775667440e+01    2.6400000000e+02    1.9767512000e-02    5.3806818182e-01
        22   -1.0529612755e+01    1.1129858484e+02   -2.1689015064e+01    1.1159402308e+01   -6.6618379807e+00    4.9195774393e-01   -2.7434673867e+00   -1.2775667440e+01    2.6400000000e+02    1.9639726000e-02    5.4133522727e-01
        23   -1.0449438692e+01    1.0960423074e+02   -2.1847251707e+01    1.1397813016e+01   -6.7164459579e+00    4.5071901979e-01   -2.8058573290e+00   -1.2775667440e+01    2.6400000000e+02    1.9809974000e-02    5.3726325758e-01
        24   -1.0462515679e+01    1.0979172005e+02   -2.1428387321e+01    1.0965871642e+01   -6.3535252311e+00    4.7673446683e-01   -2.7759291167e+00   -1.2775667440e+01    2.6400000000e+02    2.0205743000e-02    5.3816287879e-01
        25   -1.0461180238e+01    1.0980669146e+02   -2.1795904457e+01    1.1334724219e+01   -6.8514072618e+00    5.1369155586e-01   -2.6825213107e+00   -1.2775667440e+01    2.6400000000e+02    2.0317817000e-02    5.3626893939e-01
