#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0487645216e+01    1.1035438307e+02   -2.1724643868e+01    1.1236998652e+01   -6.7328870946e+00    5.4232432103e-01   -2.7584136541e+00   -1.2775667440e+01    5.1600000000e+02    2.1133798667e-02    5.3638565891e-01
         1   -1.0470849750e+01    1.1008939534e+02   -2.2063976122e+01    1.1593126372e+01   -7.0754906643e+00    5.0659107134e-01   -2.7194090889e+00   -1.2775667440e+01    5.1600000000e+02    2.2670239417e-02    5.3829941860e-01
         2   -1.0429402116e+01    1.0915065060e+02   -2.1722469074e+01    1.1293066958e+01   -6.7804597927e+00    6.0796926876e-01   -2.7743111094e+00   -1.2775667440e+01    5.1600000000e+02    2.2242122583e-02    5.3691860465e-01
         3   -1.0498973948e+01    1.1063718235e+02   -2.2181194299e+01    1.1682220352e+01   -7.2955283356e+00    6.5874673588e-01   -2.7687452595e+00   -1.2775667440e+01    5.1600000000e+02    2.2395520000e-02    5.4108527132e-01
         4   -1.0504250458e+01    1.1071694880e+02   -2.1918787447e+01    1.1414536989e+01   -7.0380067019e+00    6.5626390552e-01   -2.7613772105e+00   -1.2775667440e+01    5.1600000000e+02    2.2184139083e-02    5.3144379845e-01
         5   -1.0467488467e+01    1.0994844912e+02   -2.2029799747e+01    1.1562311280e+01   -7.1710944487e+00    5.5957856912e-01   -2.6426164272e+00   -1.2775667440e+01    5.1600000000e+02    2.2738771667e-02    5.3742732558e-01
         6   -1.0464100144e+01    1.0994649736e+02   -2.2501104494e+01    1.2037004350e+01   -7.5844982908e+00    6.0669325610e-01   -2.7476320187e+00   -1.2775667440e+01    5.1600000000e+02    2.3842328333e-02    5.4043120155e-01
         7   -1.0480960532e+01    1.1025062157e+02   -2.2022784786e+01    1.1541824254e+01   -7.3198570709e+00    7.2187417535e-01   -2.6491344506e+00   -1.2775667440e+01    5.1600000000e+02    2.4061533750e-02    5.3444767442e-01
         8   -1.0543120827e+01    1.1151923750e+02   -2.2265343782e+01    1.1722222955e+01   -7.4416115584e+00    6.0857785053e-01   -2.6566426337e+00   -1.2775667440e+01    5.1600000000e+02    2.4367656750e-02    5.3456879845e-01
         9   -1.0510289294e+01    1.1101527664e+02   -2.2067406985e+01    1.1557117691e+01   -7.2771137179e+00    6.4283974276e-01   -2.6574655700e+00   -1.2775667440e+01    5.1600000000e+02    2.4606927667e-02    5.3636143411e-01
        10   -1.0500171584e+01    1.1069800694e+02   -2.1951717534e+01    1.1451545950e+01   -6.9763652578e+00    5.4681449895e-01   -2.7464993349e+00   -1.2775667440e+01    5.1600000000e+02    2.4522558417e-02    5.3614341085e-01
        11   -1.0487692580e+01    1.1031961719e+02   -2.2123934190e+01    1.1636241610e+01   -7.2716453788e+00    5.9488115251e-01   -2.6715025234e+00   -1.2775667440e+01    5.1600000000e+02    2.4616721250e-02    5.3607073643e-01
        12   -1.0479735446e+01    1.1031264256e+02   -2.1853002810e+01    1.1373267363e+01   -7.1340562867e+00    6.3140461782e-01   -2.5746837005e+00   -1.2775667440e+01    5.1600000000e+02    2.4810392333e-02    5.3846899225e-01
        13   -1.0519825779e+01    1.1105445422e+02   -2.2008880310e+01    1.1489054531e+01   -7.3542219016e+00    7.4907579701e-01   -2.6280667649e+00   -1.2775667440e+01    5.1600000000e+02    2.4598271417e-02    5.3548934109e-01
        14   -1.0480144045e+01    1.1022017469e+02   -2.1865115363e+01    1.1384971318e+01   -6.8282096600e+00    5.2056550839e-01   -2.7818037714e+00   -1.2775667440e+01    5.1600000000e+02    2.4472260417e-02    5.3149224806e-01
        15   -1.0473624865e+01    1.1002907708e+02   -2.1885773795e+01    1.1412148930e+01   -7.0398554626e+00    6.8940621357e-01   -2.7596571060e+00   -1.2775667440e+01    5.1600000000e+02    2.4597335000e-02    5.3301841085e-01
        16   -1.0456282047e+01    1.0974083389e+02   -2.2046220166e+01    1.1589938119e+01   -7.0824497793e+00    5.1769771619e-01   -2.7058006626e+00   -1.2775667440e+01    5.1600000000e+02    2.4485354000e-02    5.3650678295e-01
        17   -1.0539141122e+01    1.1157257711e+02   -2.1870948820e+01    1.1331807699e+01   -6.9465926054e+00    5.6451198875e-01   -2.7132007636e+00   -1.2775667440e+01    5.1600000000e+02    2.5119720750e-02    5.3657945736e-01
        18   -1.0497865110e+01    1.1066494784e+02   -2.2086969185e+01    1.1589104075e+01   -7.3293489220e+00    6.4264665224e-01   -2.6245994747e+00   -1.2775667440e+01    5.1600000000e+02    2.4706597667e-02    5.3214631783e-01
        19   -1.0453953847e+01    1.0962727643e+02   -2.2171757912e+01    1.1717804065e+01   -7.2053865326e+00    4.9902845180e-01   -2.6897323906e+00   -1.2775667440e+01    5.1600000000e+02    2.4510877417e-02    5.3071705426e-01
        20   -1.0484221088e+01    1.1040272490e+02   -2.2084279363e+01    1.1600058276e+01   -7.1260588757e+00    5.6615704470e-01   -2.7487100921e+00   -1.2775667440e+01    5.1600000000e+02    2.4486091167e-02    5.3238856589e-01
        21   -1.0537208258e+01    1.1144211327e+02   -2.2194573166e+01    1.1657364908e+01   -7.2805872970e+00    5.4811315083e-01   -2.6864315794e+00   -1.2775667440e+01    5.1600000000e+02    2.4266365083e-02    5.3275193798e-01
        22   -1.0492483283e+01    1.1049846411e+02   -2.2081182776e+01    1.1588699493e+01   -7.2860721200e+00    6.6766518999e-01   -2.6871084058e+00   -1.2775667440e+01    5.1600000000e+02    2.4383322667e-02    5.3643410853e-01
        23   -1.0465305304e+01    1.0995706769e+02   -2.2094509745e+01    1.1629204441e+01   -7.1791006687e+00    5.7023118640e-01   -2.7099728225e+00   -1.2775667440e+01    5.1600000000e+02    2.4333588500e-02    5.3793604651e-01
        24   -1.0456330859e+01    1.0972998651e+02   -2.1939206639e+01    1.1482875780e+01   -7.1022120968e+00    6.5825721748e-01   -2.7195843190e+00   -1.2775667440e+01    5.1600000000e+02    2.4251617417e-02    5.3459302326e-01
        25   -1.0425099618e+01    1.0920651600e+02   -2.2030583591e+01    1.1605483973e+01   -7.0435735064e+00    5.3197201815e-01   -2.7433146624e+00   -1.2775667440e+01    5.1600000000e+02    2.4368153667e-02    5.3970445736e-01
        26   -1.0516991946e+01    1.1117505242e+02   -2.2082265747e+01    1.1565273801e+01   -7.2591387539e+00    5.9798565083e-01   -2.6454452038e+00   -1.2775667440e+01    5.1600000000e+02    2.2625463667e-02    5.3558624031e-01
        27   -1.0496832507e+01    1.1068641346e+02   -2.2576976592e+01    1.2080144084e+01   -7.5049287000e+00    3.7662126370e-01   -2.6730017153e+00   -1.2775667440e+01    5.1600000000e+02    2.1434078250e-02    5.3282461240e-01
        28   -1.0498535275e+01    1.1063554111e+02   -2.1721429033e+01    1.1222893758e+01   -6.8380337855e+00    5.7400223583e-01   -2.6817300430e+00   -1.2775667440e+01    5.1600000000e+02    2.1830435250e-02    5.4074612403e-01
        29   -1.0499420607e+01    1.1066436786e+02   -2.1933043714e+01    1.1433623107e+01   -6.9494277003e+00    5.1195056870e-01   -2.7198991427e+00   -1.2775667440e+01    5.1600000000e+02    2.2552573917e-02    5.4110949612e-01
        30   -1.0500406783e+01    1.1065962101e+02   -2.2173644500e+01    1.1673237718e+01   -7.3362183203e+00    6.4158031055e-01   -2.7033390503e+00   -1.2775667440e+01    5.1600000000e+02    2.2223494667e-02    5.3335755814e-01
        31   -1.0494390755e+01    1.1050007801e+02   -2.1605717548e+01    1.1111326793e+01   -6.6031173903e+00    5.1855680033e-01   -2.7454895178e+00   -1.2775667440e+01    5.1600000000e+02    2.2261148500e-02    5.3452034884e-01
        32   -1.0480513188e+01    1.1022710875e+02   -2.1668078024e+01    1.1187564836e+01   -6.9540646773e+00    6.8692420767e-01   -2.6252701144e+00   -1.2775667440e+01    5.1600000000e+02    2.2663895833e-02    5.3473837209e-01
        33   -1.0511643556e+01    1.1098501590e+02   -2.2379321451e+01    1.1867677896e+01   -7.6259531151e+00    6.4692340611e-01   -2.6246243020e+00   -1.2775667440e+01    5.1600000000e+02    2.2660480417e-02    5.3330910853e-01
        34   -1.0483356199e+01    1.1029980125e+02   -2.2095831072e+01    1.1612474873e+01   -7.3421459447e+00    7.3911351120e-01   -2.7171311981e+00   -1.2775667440e+01    5.1600000000e+02    2.2618671167e-02    5.3662790698e-01
        35   -1.0406092234e+01    1.0883127310e+02   -2.1939589801e+01    1.1533497567e+01   -7.1371906452e+00    5.9604746261e-01   -2.6227791785e+00   -1.2775667440e+01    5.1600000000e+02    2.2787691750e-02    5.3781492248e-01
