#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0509016401e+01    1.1080183064e+02   -2.2104885363e+01    1.1595868962e+01   -7.3581125946e+00    6.7728787823e-01   -2.6483932063e+00   -1.2775667440e+01    5.1600000000e+02    1.8656839083e-02    5.4098837209e-01
         1   -1.0516966901e+01    1.1102172413e+02   -2.1847294275e+01    1.1330327374e+01   -7.0702473174e+00    6.2098711451e-01   -2.6223666318e+00   -1.2775667440e+01    5.1600000000e+02    2.0412428500e-02    5.3607073643e-01
         2   -1.0492746407e+01    1.1047445126e+02   -2.2213266041e+01    1.1720519634e+01   -7.3415230831e+00    4.6812791606e-01   -2.5642034336e+00   -1.2775667440e+01    5.1600000000e+02    2.0502191000e-02    5.4108527132e-01
         3   -1.0495034967e+01    1.1055879834e+02   -2.1793074791e+01    1.1298039824e+01   -7.1631277242e+00    7.2811494327e-01   -2.5823945699e+00   -1.2775667440e+01    5.1600000000e+02    2.0361926667e-02    5.4086724806e-01
         4   -1.0458699283e+01    1.0978376134e+02   -2.2209385340e+01    1.1750686057e+01   -7.3071239097e+00    5.2923717792e-01   -2.6558311681e+00   -1.2775667440e+01    5.1600000000e+02    2.0456938583e-02    5.3655523256e-01
         5   -1.0476993693e+01    1.1016009732e+02   -2.2203363954e+01    1.1726370261e+01   -7.4133122910e+00    5.6783531588e-01   -2.5822195390e+00   -1.2775667440e+01    5.1600000000e+02    2.0720777833e-02    5.3420542636e-01
         6   -1.0463151170e+01    1.0979042091e+02   -2.1915416645e+01    1.1452265474e+01   -7.1234215434e+00    6.5359597095e-01   -2.6699236318e+00   -1.2775667440e+01    5.1600000000e+02    2.0757397167e-02    5.4060077519e-01
         7   -1.0481060046e+01    1.1026457989e+02   -2.2287118317e+01    1.1806058271e+01   -7.4400581393e+00    4.9978109519e-01   -2.5711738326e+00   -1.2775667440e+01    5.1600000000e+02    2.1055753917e-02    5.3737887597e-01
         8   -1.0459620185e+01    1.0983410568e+02   -2.2627130141e+01    1.2167509956e+01   -7.7625447370e+00    4.6693826205e-01   -2.5558562263e+00   -1.2775667440e+01    5.1600000000e+02    2.0918465667e-02    5.3757267442e-01
         9   -1.0497309789e+01    1.1050982930e+02   -2.2157548676e+01    1.1660238888e+01   -7.2585923882e+00    5.5841192762e-01   -2.6817007756e+00   -1.2775667440e+01    5.1600000000e+02    2.0870011500e-02    5.3880813953e-01
        10   -1.0464553895e+01    1.0983588936e+02   -2.1790437422e+01    1.1325883527e+01   -7.1724790466e+00    6.7159645153e-01   -2.5138873871e+00   -1.2775667440e+01    5.1600000000e+02    2.1304270833e-02    5.3948643411e-01
        11   -1.0514538955e+01    1.1111831042e+02   -2.1946009286e+01    1.1431470331e+01   -7.2509922223e+00    7.3730074282e-01   -2.6566503660e+00   -1.2775667440e+01    5.1600000000e+02    2.0722204000e-02    5.4072189922e-01
        12   -1.0518644846e+01    1.1098438335e+02   -2.1879877537e+01    1.1361232691e+01   -7.1388383612e+00    6.9591204366e-01   -2.6612837793e+00   -1.2775667440e+01    5.1600000000e+02    2.1195291667e-02    5.3529554264e-01
        13   -1.0463126914e+01    1.0990844387e+02   -2.2387182804e+01    1.1924055890e+01   -7.5946144770e+00    6.4150671866e-01   -2.6584076051e+00   -1.2775667440e+01    5.1600000000e+02    2.0898850500e-02    5.3873546512e-01
        14   -1.0460554652e+01    1.0976051112e+02   -2.1925024180e+01    1.1464469527e+01   -7.1628639951e+00    6.9381789847e-01   -2.6803106427e+00   -1.2775667440e+01    5.1600000000e+02    2.0849366250e-02    5.3984980620e-01
        15   -1.0490465918e+01    1.1047977742e+02   -2.2202782984e+01    1.1712317066e+01   -7.4213327342e+00    6.2705349263e-01   -2.6328363023e+00   -1.2775667440e+01    5.1600000000e+02    2.1071270250e-02    5.3803294574e-01
        16   -1.0484207417e+01    1.1031624597e+02   -2.2326757367e+01    1.1842549950e+01   -7.4956911773e+00    5.1540795598e-01   -2.5708067054e+00   -1.2775667440e+01    5.1600000000e+02    2.0921658583e-02    5.4064922481e-01
        17   -1.0474711597e+01    1.1007201740e+02   -2.1921244392e+01    1.1446532794e+01   -7.2322735152e+00    6.6074511450e-01   -2.5740485505e+00   -1.2775667440e+01    5.1600000000e+02    2.0942442333e-02    5.3236434109e-01
        18   -1.0449436712e+01    1.0962851164e+02   -2.1990831598e+01    1.1541394886e+01   -7.4462540720e+00    7.0503832889e-01   -2.4739484147e+00   -1.2775667440e+01    5.1600000000e+02    2.2023831167e-02    5.3561046512e-01
        19   -1.0473203423e+01    1.1001595429e+02   -2.1852439465e+01    1.1379236042e+01   -7.0821748064e+00    6.8998766372e-01   -2.6845848820e+00   -1.2775667440e+01    5.1600000000e+02    2.2102893917e-02    5.3822674419e-01
