#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 KEcorr              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.0491186515e+01    1.1045315557e+02   -2.2222427864e+01    1.1731241349e+01   -7.4064898279e+00    6.0625672871e-01   -2.6465273249e+00   -1.2775667440e+01   -2.3919181656e+00    9.5428230307e-02    5.1260000000e+03    3.8612354500e-01    9.8714632598e-01
         1   -1.0502083994e+01    1.1073121227e+02   -2.2379616794e+01    1.1877532800e+01   -7.6078414457e+00    6.8068368940e-01   -2.6767915976e+00   -1.2775667440e+01   -2.4296138467e+00    9.5428230307e-02    5.1230000000e+03    3.7193655500e-01    9.8743245109e-01
         2   -1.0504014735e+01    1.1070382846e+02   -2.2246103093e+01    1.1742088358e+01   -7.3780212633e+00    5.9883380285e-01   -2.6912481926e+00   -1.2775667440e+01   -2.4437737517e+00    9.5428230307e-02    5.1140000000e+03    3.8074676267e-01    9.8664566060e-01
         3   -1.0534890488e+01    1.1138094145e+02   -2.2301602961e+01    1.1766712473e+01   -7.4735030108e+00    6.3683728190e-01   -2.6892697915e+00   -1.2775667440e+01   -2.4470587112e+00    9.5428230307e-02    5.1190000000e+03    3.8331633633e-01    9.8683615951e-01
         4   -1.0532944878e+01    1.1137076662e+02   -2.2358727314e+01    1.1825782436e+01   -7.4998312767e+00    6.1187292742e-01   -2.6951015245e+00   -1.2775667440e+01   -2.4618095211e+00    9.5428230307e-02    5.1030000000e+03    3.7750957500e-01    9.8816221562e-01
         5   -1.0544530732e+01    1.1163448762e+02   -2.2151352642e+01    1.1606821910e+01   -7.3681293794e+00    6.6507905585e-01   -2.6726348781e+00   -1.2775667440e+01   -2.4276760909e+00    9.5428230307e-02    5.1330000000e+03    3.8892485833e-01    9.8745833271e-01
         6   -1.0521456462e+01    1.1113612496e+02   -2.2200694241e+01    1.1679237779e+01   -7.3306838593e+00    5.9302335920e-01   -2.6873663006e+00   -1.2775667440e+01   -2.4499109407e+00    9.5428230307e-02    5.1700000000e+03    3.7805125967e-01    9.8670428592e-01
         7   -1.0528547617e+01    1.1120990162e+02   -2.2069906596e+01    1.1541358979e+01   -7.2594170110e+00    6.2834699590e-01   -2.6631691410e+00   -1.2775667440e+01   -2.4274660533e+00    9.5428230307e-02    5.1770000000e+03    3.8679287133e-01    9.8770086536e-01
         8   -1.0539669304e+01    1.1144400728e+02   -2.1919403013e+01    1.1379733709e+01   -7.0748205277e+00    6.4797593704e-01   -2.7168909822e+00   -1.2775667440e+01   -2.4812306918e+00    9.5428230307e-02    5.1870000000e+03    3.9665900067e-01    9.8784727536e-01
         9   -1.0522869059e+01    1.1109067559e+02   -2.1846843965e+01    1.1323974905e+01   -6.9781549354e+00    6.1218922588e-01   -2.7052108149e+00   -1.2775667440e+01   -2.4663540528e+00    9.5428230307e-02    5.1930000000e+03    3.7838260733e-01    9.8781924848e-01
        10   -1.0528205107e+01    1.1129414888e+02   -2.2089488501e+01    1.1561283393e+01   -7.2369885552e+00    6.1813013534e-01   -2.6949626404e+00   -1.2775667440e+01   -2.4540348729e+00    9.5428230307e-02    5.1490000000e+03    4.0403806233e-01    9.8784199746e-01
        11   -1.0540074743e+01    1.1146792509e+02   -2.2133114195e+01    1.1593039451e+01   -7.2754793612e+00    6.0899772979e-01   -2.6909651229e+00   -1.2775667440e+01   -2.4499766801e+00    9.5428230307e-02    5.1570000000e+03    3.8955376433e-01    9.8788632553e-01
        12   -1.0517208948e+01    1.1097486874e+02   -2.2140476226e+01    1.1623267278e+01   -7.4186954589e+00    6.8551685146e-01   -2.6316301783e+00   -1.2775667440e+01   -2.3885541232e+00    9.5428230307e-02    5.1710000000e+03    3.9338132667e-01    9.8776567528e-01
        13   -1.0532379543e+01    1.1130556708e+02   -2.2065224910e+01    1.1532845367e+01   -7.3031744138e+00    6.6994402640e-01   -2.6563270823e+00   -1.2775667440e+01   -2.4083524789e+00    9.5428230307e-02    5.1200000000e+03    3.8826195533e-01    9.8791667678e-01
        14   -1.0506281909e+01    1.1075346509e+02   -2.2185646292e+01    1.1679364383e+01   -7.4967578614e+00    7.1246951899e-01   -2.6256905089e+00   -1.2775667440e+01   -2.3746575020e+00    9.5428230307e-02    5.1060000000e+03    3.8036466100e-01    9.8722097118e-01
        15   -1.0513495916e+01    1.1093390727e+02   -2.2272249712e+01    1.1758753796e+01   -7.3946612625e+00    5.8699637283e-01   -2.6889173820e+00   -1.2775667440e+01   -2.4440283769e+00    9.5428230307e-02    5.1000000000e+03    3.9276650567e-01    9.8789949451e-01
        16   -1.0528002281e+01    1.1120119330e+02   -2.2062365633e+01    1.1534363352e+01   -7.1694022547e+00    5.8423107501e-01   -2.7015270131e+00   -1.2775667440e+01   -2.4608808065e+00    9.5428230307e-02    5.1280000000e+03    3.8915455333e-01    9.8726771634e-01
        17   -1.0519414829e+01    1.1101026048e+02   -2.2071509684e+01    1.1552094855e+01   -7.2041342329e+00    6.0952595172e-01   -2.7012339631e+00   -1.2775667440e+01   -2.4637662030e+00    9.5428230307e-02    5.1720000000e+03    3.9315473567e-01    9.8806231742e-01
        18   -1.0546275739e+01    1.1158890331e+02   -2.2141928722e+01    1.1595652983e+01   -7.2851842619e+00    6.1800934394e-01   -2.6990863642e+00   -1.2775667440e+01   -2.4624081586e+00    9.5428230307e-02    5.1730000000e+03    4.0011940733e-01    9.8734796139e-01
        19   -1.0546108285e+01    1.1159905043e+02   -2.2164427149e+01    1.1618318865e+01   -7.2597419195e+00    6.0256031733e-01   -2.7315781070e+00   -1.2775667440e+01   -2.5012456326e+00    9.5428230307e-02    5.1950000000e+03    3.9111959400e-01    9.8742551144e-01
