bond distance (a)       Energy (Ha)
             0.80          -9.72858
             0.90         -10.15639
             1.00         -10.39137
             1.10         -10.50883
             1.20         -10.55626
             1.30         -10.47165
             1.40         -10.48947
             1.50         -10.51333
             1.60         -10.48715
             1.70         -10.47288
             1.80         -10.44326
             1.90         -10.44047
             2.00         -10.42244
             3.00         -10.29607
             4.00         -10.24914
