bond distance (a)       Energy (Ha)
             0.80         -10.23406
             0.90         -10.65149
             1.00         -10.87763
             1.10         -10.98773
             1.20         -11.02915
             1.30         -10.95559
             1.40         -10.97163
             1.50         -10.95925
             1.60         -10.95379
             1.70         -10.94431
             1.80         -10.92597
             1.90         -10.90610
             2.00         -10.88683
             3.00         -10.75826
             4.00         -10.71397
